,duration,energy_arm,energy_g3d,energy_kfc,energy_mem,experiment,temperature,timestamp
49,846,359.9487045,22.0207266667,31.67289175,89.7372475,uhabits-lint-all,0.0,2016_05_18-17_21
50,849,363.67243025,22.2391214167,31.5797884167,90.0425136667,uhabits-lint-all,0.0,2016_05_18-18_31
51,849,361.116470583,22.030623,31.945503,90.004412,uhabits-lint-all,0.0,2016_05_18-19_41
52,852,372.435043167,22.13065825,31.8879324167,90.3705386667,uhabits-lint-all,0.0,2016_05_18-20_50
53,854,372.379576833,21.9323286667,32.1191113333,90.2631883333,uhabits-lint-all,0.0,2016_05_18-22_00
54,856,372.89921325,21.9842878333,32.0482408333,90.5131946667,uhabits-lint-all,0.0,2016_05_18-23_10
55,818,417.693205917,18.3823404167,30.2390604167,84.478081,uhabits-lint-all,0.0,2016_05_19-00_21
56,861,384.11155375,22.23501825,32.0857865,91.1022845,uhabits-lint-all,0.0,2016_05_19-01_31
57,862,378.9304145,22.3958510833,32.8174828333,91.2868916667,uhabits-lint-all,0.0,2016_05_19-02_41
58,861,388.386659833,22.4220685,32.2561340833,91.0424250833,uhabits-lint-all,0.0,2016_05_19-03_52
59,860,399.799232417,22.6505725,32.2848236667,91.111629,uhabits-lint-all,0.0,2016_05_19-05_03
60,841,279.586912833,18.2370816667,32.3043518333,87.7120435,uhabits-lint-overdraw,0.0,2016_05_17-19_46
61,819,286.030153667,20.30555925,32.81754925,86.79679425,uhabits-lint-overdraw,0.0,2016_05_17-20_55
62,821,176.142273833,12.0608624167,31.6824560833,81.5897844167,uhabits-lint-overdraw,0.0,2016_05_17-22_03
63,820,288.402469,20.0105795,32.9181886667,86.8865373333,uhabits-lint-overdraw,0.0,2016_05_17-23_12
64,823,298.467617417,20.8958245,32.6233596667,87.456044,uhabits-lint-overdraw,0.0,2016_05_18-00_20
65,826,300.290298,20.4122275,31.9990960833,87.4862960833,uhabits-lint-overdraw,0.0,2016_05_18-01_28
66,829,302.534888,20.6254261667,32.940058,87.827736,uhabits-lint-overdraw,0.0,2016_05_18-02_37
67,830,309.000187,20.87914975,32.1361065,88.1381525,uhabits-lint-overdraw,0.0,2016_05_18-03_45
68,831,315.083310917,21.0878000833,31.4547479167,88.07477575,uhabits-lint-overdraw,0.0,2016_05_18-04_54
69,830,324.179711167,20.8235060833,31.8870631667,88.2035613333,uhabits-lint-overdraw,0.0,2016_05_18-06_02
70,834,322.655399083,21.0140321667,31.9883085,88.2557185,uhabits-lint-overdraw,0.0,2016_05_18-07_11
71,836,324.174033167,21.36439125,32.3058168333,88.7295365,uhabits-lint-overdraw,0.0,2016_05_18-08_20
72,836,329.954957417,21.4975665,32.0602906667,88.7756131667,uhabits-lint-overdraw,0.0,2016_05_18-09_29
73,838,331.532111083,21.2541623333,31.92372025,88.8375161667,uhabits-lint-overdraw,0.0,2016_05_18-10_38
74,840,334.639182583,21.4863808333,32.353004,89.1087675,uhabits-lint-overdraw,0.0,2016_05_18-11_47
75,844,339.963489167,21.7654240833,32.1519816667,89.5122388333,uhabits-lint-overdraw,0.0,2016_05_18-12_56
76,839,342.408100917,21.6114821667,31.5856973333,88.9398865,uhabits-lint-overdraw,0.0,2016_05_18-14_06
77,870,366.592855333,20.7166181667,32.39299875,91.7019448333,uhabits-lint-overdraw,0.0,2016_05_18-15_15
78,847,353.564532667,21.69707675,31.0955044167,89.6432863333,uhabits-lint-overdraw,0.0,2016_05_18-16_25
79,849,357.264462667,22.14761875,31.8450694167,90.1378798333,uhabits-lint-overdraw,0.0,2016_05_18-17_35
80,849,360.264089,22.1645760833,32.292898,90.0839915,uhabits-lint-overdraw,0.0,2016_05_18-18_45
81,850,367.381460417,22.0095735833,32.25320025,90.094774,uhabits-lint-overdraw,0.0,2016_05_18-19_55
82,851,368.2200745,21.9559373333,32.17593025,90.0134016667,uhabits-lint-overdraw,0.0,2016_05_18-21_04
