timestamp,armW,memW,g3dW,kfcW,dumb
1462358091,0.934513,0.138230,0.104075,0.017192,
1462358091,0.703640,0.117796,0.073143,0.017192,
1462358092,0.294775,0.105776,0.110410,0.017192,
1462358092,1.011595,0.105776,0.030770,0.017192,
1462358092,0.866880,0.120200,0.017195,0.017192,
1462358092,0.649524,0.105776,0.002718,0.017192,
1462358093,0.121836,0.100968,0.039820,0.017192,
1462358093,0.402800,0.133422,0.075852,0.136875,
1462358093,0.628320,0.128614,0.043440,0.110790,
1462358094,0.525096,0.102170,0.002718,0.017192,
1462358094,0.041906,0.098564,0.002718,0.018000,
1462358094,0.620469,0.111786,0.002718,0.148097,
1462358094,0.669288,0.112988,0.020815,0.024560,
1462358095,0.062859,0.131018,0.114935,0.028500,
1462358095,0.008199,0.098564,0.017195,0.022680,
1462358095,0.008199,0.090150,0.002718,0.015120,
1462358096,1.076224,0.110584,0.002718,0.091360,
1462358096,1.256145,0.133422,0.049775,0.017192,
1462358096,0.613878,0.140634,0.100455,0.017192,
1462358096,0.031212,0.111786,0.010872,0.051360,
1462358097,0.733654,0.114190,0.074210,0.110565,
1462358097,1.027404,0.146644,0.099550,0.017192,
1462358097,0.578151,0.125008,0.072400,0.017192,
1462358098,1.020064,0.132220,0.037146,0.017192,
1462358098,0.233616,0.123806,0.109505,0.017192,
1462358098,0.851408,0.108180,0.026245,0.160930,
1462358098,0.598785,0.110584,0.002718,0.017192,
1462358099,0.442581,0.106978,0.027150,0.017192,
1462358099,0.207836,0.134624,0.073305,0.093694,
1462358099,0.765774,0.115392,0.057920,0.130592,
1462358100,0.608532,0.108180,0.002718,0.017192,
1462358100,0.305659,0.098564,0.002718,0.017192,
1462358100,0.008199,0.108180,0.002718,0.034176,
1462358100,0.967182,0.112988,0.011765,0.146410,
1462358101,0.582993,0.099766,0.011778,0.017192,
1462358101,0.399608,0.122604,0.074210,0.017192,
1462358101,0.008199,0.091352,0.002715,0.014175,
1462358102,0.349074,0.110584,0.002715,0.051561,
1462358102,1.463454,0.131018,0.002718,0.050430,
